id,video,vote_count,vote_average,title,release_date,original_language,original_title,genre_ids/0,backdrop_path,adult,overview,poster_path,popularity,id_imdb,genre_ids/1,genre_ids/2,genre_ids/3,genre_ids/4,genre_ids/5,genre_ids/6
675827,false,0,0,Los Hijos de San Luis,2020-02-21,es,Los Hijos de San Luis,,,false,,/9iI5nEHTXC2Xa1kXtgxZXpDH8rZ.jpg,0.6,tt11747014,,,,,,
662931,false,0,0,Lonely Rock,2020-01-28,es,Piedra Sola,,,false,"The hamlet of Condor lies in the Puna grasslands of the northern highlands of Argentina, at some four thousand metres above sea level, close to the border with Bolivia. Here, a lama herder lives with his family. He and his son sell lama meat and wool in the closest city, which is still a long trip on foot and by bus. When the herd is threatened by a puma, the herder goes in search of the predator. According to local custom, he has to make an offering to the beast.",/xV25tZbzwjBDjLILuKWuREii1Kt.jpg,1.4,tt11561514,,,,,,
644090,false,0,0,"Love, Guaranteed",,en,"Love, Guaranteed",,,false,"Rachael Leigh Cook will produce and star in ""Love, Guaranteed"" — a new film based on her original idea. She will play a lawyer who takes on a new client (played by Damon Wayans Jr) that wants to sue a dating website because it guarantees love.",,0.6,tt11100856,,,,,,
686966,false,0,0,Lost in Face,2020-01-26,en,Lost in Face,99,,false,"Carlotta cannot recognize faces, not even her own. For her, human faces are no bastion of trust, but places of fear and confusion. She is one of the 1% of all people whose part of the brain responsible for facial recognition does not work properly. With his film LOST IN FACE, neuroscientist Valentin Riedl travels through Carlotta's universe, full of anthropomorphic animals, lucid dreams and bumpy false paths. He peels back her charming, idiosyncratic solutions that she employs to be able to join the masses of human conformity, until she one day decides to build a ship and leave her fellow humans. Her never-ending search for answers leads her to art-and thus an avenue to her own face and back to humanity.",/iFbV93JSZRL3p1WwZ926HlvIEo2.jpg,0.6,tt11350504,,,,,,
685239,false,0,0,Long and Winding Road,,en,Long and Winding Road,,,false,"Long and Winding Road is a feature documentary filmed over 2 years, including the 2018 & 2019 Independent Venue Week celebrations. Featuring Philip Selway ( Radiohead), the film takes you on a very special journey into independent live music venues across the UK, meeting those who run, work & play in them.",,0.6,tt10468326,,,,,,
624808,false,258,5.7,Love Wedding Repeat,2020-04-10,en,Love Wedding Repeat,35,/ruxOWt2iCPM4tV2PY3OuYJHt4Do.jpg,false,"While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl that got away in alternate versions of the same day.",/zn7feouGPU8sELez4qvpp0EtgeQ.jpg,43.317,tt5096470,10749,,,,,
603770,false,11,6.3,Lost in Russia,2020-01-24,zh,囧妈,35,/1rUUuHPcw5E4Q3DX4avv6Im5tqJ.jpg,false,A story of a businessman who accidentally boards a train bound for Russia with his mother and has to overcome difficulties with his mother and problems in his family life.,/w1j8aaQV5t44wwwkMTmwZOitWfm.jpg,3.213,tt11172926,18,,,,,
679679,false,0,0,Long Live Love,2020-03-20,da,Lever Elsker Savner,99,,false,"Young, cancer-stricken and with a will to fight for her life. A raw and touching film about a highly unusual teenage girl in today's Copenhagen.",/AitceHy3CQmT8cAWcHZYU3rtGAN.jpg,0.666,tt11698618,,,,,,
658450,false,0,0,Low Season,2020-02-13,th,Low Season สุขสันต์วันโสด,10749,,false,the love story of a heartbroken person.,/fQXkluQLnE274ANfZC4j4bvSFp5.jpg,2.152,tt11906392,35,,,,,
590403,false,8,6.3,Love Aaj Kal,2020-02-14,hi,लव आज कल,10749,/4iEDmDav1f6868gY83KdSBiY4u5.jpg,false,"When professional ambitions clash with personal feelings for a modern-day couple, a love story from a bygone era may offer some wisdom.",/ntjCPc4ndgjglrjP7kfrWFBsm04.jpg,3.899,tt10023024,18,,,,,
